column,dtype,missing,missing_%,infinite,unique,std,near_constant
Header_Length,float32,0,0.0,0,822146,276261.84375,False
IRC,float32,0,0.0,0,7,0.0009510152158327401,False
UDP,float32,0,0.0,0,290,0.45891237258911133,False
DHCP,float32,0,0.0,0,33,0.0010858353925868869,False
ARP,float32,0,0.0,0,72,0.019638115540146828,False
ICMP,float32,0,0.0,0,246,0.44338399171829224,False
IGMP,float32,0,0.0,0,13,0.0012453746749088168,False
IPv,float32,0,0.0,0,72,0.01963811367750168,False
LLC,float32,0,0.0,0,72,0.01963811367750168,False
Tot sum,float32,0,0.0,0,147721,988.8973999023438,False
Min,float32,0,0.0,0,29587,67.60017395019531,False
Max,float32,0,0.0,0,65703,135.56455993652344,False
AVG,float32,0,0.0,0,727977,88.09625244140625,False
Std,float32,0,0.0,0,740221,39.17360305786133,False
Tot size,float32,0,0.0,0,52445,87.87628173828125,False
IAT,float32,0,0.0,0,68531,17884424.0,False
Number,float32,0,0.0,0,97,0.8446717262268066,False
Magnitue,float32,0,0.0,0,695581,3.1691973209381104,False
Radius,float32,0,0.0,0,713958,55.38148880004883,False
Covariance,float32,0,0.0,0,717859,20458.31640625,False
Variance,float32,0,0.0,0,790,0.23271329700946808,False
TCP,float32,0,0.0,0,270,0.4900243282318115,False
SSH,float32,0,0.0,0,14,0.0011780878994613886,False
Protocol Type,float32,0,0.0,0,1570,6.292200565338135,False
SMTP,float32,0,0.0,0,7,0.0009510274976491928,False
Duration,float32,0,0.0,0,7024,8.405261993408203,False
Rate,float32,0,0.0,0,4174510,39509.67578125,False
Srate,float32,0,0.0,0,4174510,39509.67578125,False
Drate,float32,0,0.0,0,1,0.0,True
fin_flag_number,float32,0,0.0,0,229,0.03411169722676277,False
syn_flag_number,float32,0,0.0,0,539,0.3388232886791229,False
rst_flag_number,float32,0,0.0,0,507,0.13710159063339233,False
psh_flag_number,float32,0,0.0,0,431,0.09713146835565567,False
ack_flag_number,float32,0,0.0,0,628,0.2512129247188568,False
ece_flag_number,float32,0,0.0,0,8,0.0004447965766303241,False
cwr_flag_number,float32,0,0.0,0,6,0.00033916847314685583,False
ack_count,float32,0,0.0,0,570,0.1776152104139328,False
syn_count,float32,0,0.0,0,1071,0.605445384979248,False
fin_count,float32,0,0.0,0,2845,0.6072224378585815,False
rst_count,float32,0,0.0,0,92097,512.7197265625,False
HTTP,float32,0,0.0,0,33,0.023244937881827354,False
HTTPS,float32,0,0.0,0,257,0.06442157179117203,False
DNS,float32,0,0.0,0,62,0.005443449132144451,False
Telnet,float32,0,0.0,0,6,0.0009510040981695056,False
Weight,float32,0,0.0,0,103,21.741376876831055,False
