cell,trained_on,tested_on,class,f1,precision,recall,support
C1-a,raw,raw,ARP_Spoofing,0.6231268172668307,0.5108177484415108,0.7987385321100917,1744.0
C1-a,raw,raw,Benign,0.9668870655089089,0.9655538171886187,0.9682240008509054,37607.0
C1-a,raw,raw,DDoS_ICMP,0.9995052308255495,0.9996224439887076,0.9993880451473982,349699.0
C1-a,raw,raw,DDoS_SYN,0.9978122485030028,0.9995692465306882,0.9960614163819556,172397.0
C1-a,raw,raw,DDoS_TCP,0.9991843884281687,0.998708773772788,0.9996604563029168,182598.0
C1-a,raw,raw,DDoS_UDP,0.99971142362046,0.9995665079036378,0.9998563813627199,362070.0
C1-a,raw,raw,DoS_ICMP,0.9979460690608858,0.9987991533013107,0.9970944408322496,98432.0
C1-a,raw,raw,DoS_SYN,0.9998732129363377,0.9999188525754164,0.9998275774633603,98595.0
C1-a,raw,raw,DoS_TCP,0.9995369354878019,0.9999512361632613,0.9991229779770026,82096.0
C1-a,raw,raw,DoS_UDP,0.99956740958315,0.9996364535314904,0.999498375171752,137553.0
C1-a,raw,raw,MQTT_DDoS_Connect_Flood,0.9999284316999857,0.9998807251908397,0.9999761427617139,41916.0
C1-a,raw,raw,MQTT_DDoS_Publish_Flood,0.6564069850889084,0.9978181818181818,0.48906844106463876,8416.0
C1-a,raw,raw,MQTT_DoS_Connect_Flood,0.9990418396678378,0.9990418396678378,0.9990418396678378,3131.0
C1-a,raw,raw,MQTT_DoS_Publish_Flood,0.7983291875909325,0.6643493204186846,1.0,8505.0
C1-a,raw,raw,MQTT_Malformed_Data,0.9011735639283508,0.9785378940308518,0.8351459645105895,1747.0
C1-a,raw,raw,Recon_OS_Scan,0.7556166895919303,0.9125138427464009,0.6447574334898278,3834.0
C1-a,raw,raw,Recon_Ping_Sweep,0.7139107611548556,0.6974358974358974,0.7311827956989247,186.0
C1-a,raw,raw,Recon_Port_Scan,0.9549553408871849,0.9263245377103677,0.9854124303775086,22622.0
C1-a,raw,raw,Recon_VulScan,0.43638676844783714,0.637546468401487,0.3317214700193424,1034.0
C1-b,raw,dedup,ARP_Spoofing,0.6231268172668307,0.5108177484415108,0.7987385321100917,1744.0
C1-b,raw,dedup,Benign,0.9668870655089089,0.9655538171886187,0.9682240008509054,37607.0
C1-b,raw,dedup,DDoS_ICMP,0.9928329124901165,0.9963653117641036,0.9893254714583439,19673.0
C1-b,raw,dedup,DDoS_SYN,0.9966345909928802,0.9991635771769599,0.9941183747371262,88921.0
C1-b,raw,dedup,DDoS_TCP,0.9861845471601569,0.9795572622543484,0.9929021179164281,8735.0
C1-b,raw,dedup,DDoS_UDP,0.99971142362046,0.9995665079036378,0.9998563813627199,362070.0
C1-b,raw,dedup,DoS_ICMP,0.9798106128283008,0.9863309352517986,0.9733759318423855,8451.0
C1-b,raw,dedup,DoS_SYN,0.9998718441625016,0.9999179764797556,0.9998257161017818,97542.0
C1-b,raw,dedup,DoS_TCP,0.9997533850833206,0.9999060371153394,0.9996007796538525,42583.0
C1-b,raw,dedup,DoS_UDP,0.99956740958315,0.9996364535314904,0.999498375171752,137553.0
C1-b,raw,dedup,MQTT_DDoS_Connect_Flood,0.9999284316999857,0.9998807251908397,0.9999761427617139,41916.0
C1-b,raw,dedup,MQTT_DDoS_Publish_Flood,0.6564069850889084,0.9978181818181818,0.48906844106463876,8416.0
C1-b,raw,dedup,MQTT_DoS_Connect_Flood,0.9990418396678378,0.9990418396678378,0.9990418396678378,3131.0
C1-b,raw,dedup,MQTT_DoS_Publish_Flood,0.7983291875909325,0.6643493204186846,1.0,8505.0
C1-b,raw,dedup,MQTT_Malformed_Data,0.9011735639283508,0.9785378940308518,0.8351459645105895,1747.0
C1-b,raw,dedup,Recon_OS_Scan,0.6899128268991283,0.8854555141182738,0.5651139068344101,2941.0
C1-b,raw,dedup,Recon_Ping_Sweep,0.6858789625360231,0.6685393258426966,0.7041420118343196,169.0
C1-b,raw,dedup,Recon_Port_Scan,0.9548211412303503,0.926985195154778,0.9843805829207289,19591.0
C1-b,raw,dedup,Recon_VulScan,0.41421736158578265,0.6183673469387755,0.3114080164439877,973.0
C1-c,dedup,raw,ARP_Spoofing,0.7578818487909397,0.8128693368351937,0.7098623853211009,1744.0
C1-c,dedup,raw,Benign,0.9679226001672219,0.9661915107837422,0.9696599037413247,37607.0
C1-c,dedup,raw,DDoS_ICMP,0.9998727518904923,0.9998398728132631,0.9999056331302063,349699.0
C1-c,dedup,raw,DDoS_SYN,0.9992809843556112,0.9989276543453185,0.9996345644065732,172397.0
C1-c,dedup,raw,DDoS_TCP,0.9990036678162807,0.998610062273588,0.9993975837632395,182598.0
C1-c,dedup,raw,DDoS_UDP,0.9998342903068115,0.9998094385895141,0.9998591432595907,362070.0
C1-c,dedup,raw,DoS_ICMP,0.998265646059558,0.9995314871209884,0.9970030071521456,98432.0
C1-c,dedup,raw,DoS_SYN,0.9995332839561287,0.999878205973997,0.9991885998275775,98595.0
C1-c,dedup,raw,DoS_TCP,0.9999147287766016,0.9999756353093098,0.9998538296628338,82096.0
C1-c,dedup,raw,DoS_UDP,0.9994764740527452,0.9996509217846624,0.999302087195481,137553.0
