seed,target,variant,variant_name,n_target,n_loo_benign,h2_strict_rescue_recall,h2_binary_recall,ae_only_rescue_recall,flag_rate_all,false_alert_rate_benign,case1_pct,case2_pct,case3_pct,case4_pct,case5_pct
1729,Recon_Ping_Sweep,baseline_ae_p90,"Baseline (Phase 6, AE p90)",169,31,0.16129032258064516,0.8461538461538461,0.16129032258064516,0.9648065379459982,0.18964554471242057,0.514792899408284,0.029585798816568046,0.30177514792899407,0.15384615384615385,0.0
1729,Recon_Ping_Sweep,baseline_ae_p95,Baseline (AE p95),169,31,0.0967741935483871,0.834319526627219,0.16129032258064516,0.9602854747676707,0.08498417847741112,0.4911242603550296,0.01775147928994083,0.3254437869822485,0.16568047337278108,0.0
1729,Recon_Ping_Sweep,confidence_0.6,Confidence floor (τ=0.6),169,31,0.41935483870967744,0.893491124260355,0.16129032258064516,0.9651438805381343,0.19331507432127,0.4556213017751479,0.08875739644970414,0.25443786982248523,0.10650887573964497,0.09467455621301775
1729,Recon_Ping_Sweep,confidence_0.7,Confidence floor (τ=0.7),169,31,0.6774193548387096,0.9408284023668639,0.16129032258064516,0.9655350186266907,0.19908527667721435,0.39644970414201186,0.14792899408284024,0.23076923076923078,0.05917159763313609,0.16568047337278108
1729,Recon_Ping_Sweep,entropy_benign_p90,Entropy (benign-val p90),169,31,1.0,1.0,0.16129032258064516,0.9696279593126729,0.283590820857819,0.0650887573964497,0.47928994082840237,0.14792899408284024,0.0,0.3076923076923077
1729,Recon_Ping_Sweep,entropy_benign_p95,Entropy (benign-val p95),169,31,0.967741935483871,0.9940828402366864,0.16129032258064516,0.9674503624471571,0.23402558034408488,0.27218934911242604,0.27218934911242604,0.1893491124260355,0.005917159763313609,0.2603550295857988
1729,Recon_Ping_Sweep,entropy_benign_p99,Entropy (benign-val p99),169,31,0.45161290322580644,0.8994082840236687,0.16129032258064516,0.965242505614905,0.19403302576647966,0.4970414201183432,0.047337278106508875,0.2781065088757396,0.10059171597633136,0.07692307692307693
1729,Recon_Ping_Sweep,ensemble_p90,Ensemble AE+IF (p90),169,31,0.12903225806451613,0.8402366863905325,0.16129032258064516,0.9633025055252458,0.15965112877921664,0.5798816568047337,0.023668639053254437,0.23668639053254437,0.15976331360946747,0.0
1729,Recon_Ping_Sweep,ensemble_p95,Ensemble AE+IF (p95),169,31,0.0,0.8165680473372781,0.16129032258064516,0.9620271039642798,0.1315712500332385,0.07692307692307693,0.0,0.7396449704142012,0.1834319526627219,0.0
1729,Recon_Ping_Sweep,conf07_ent_p95,"Confidence + Entropy (τ=0.7, benign p95)",169,31,0.967741935483871,0.9940828402366864,0.16129032258064516,0.9674503624471571,0.23402558034408488,0.27218934911242604,0.27218934911242604,0.1893491124260355,0.005917159763313609,0.2603550295857988
