variant,target,h2_strict_rescue_recall_mean,h2_strict_rescue_recall_std,h2_strict_rescue_recall_min,h2_strict_rescue_recall_max,h2_strict_rescue_recall_n_seeds,h2_binary_recall_mean,h2_binary_recall_std,h2_binary_recall_min,h2_binary_recall_max,h2_binary_recall_n_seeds,flag_rate_all_mean,flag_rate_all_std,flag_rate_all_min,flag_rate_all_max,flag_rate_all_n_seeds,false_alert_rate_benign_mean,false_alert_rate_benign_std,false_alert_rate_benign_min,false_alert_rate_benign_max,false_alert_rate_benign_n_seeds
baseline_ae_p90,ARP_Spoofing,0.298417253845337,0.013402580086121715,0.2826086956521739,0.3196202531645569,5,0.8727064220183486,0.0036938356441298934,0.867545871559633,0.8767201834862385,5,0.9646590486266458,1.198195812097714e-05,0.9646473929357549,0.9646776529024912,5,0.18711941925705317,0.0003582363279524504,0.1867205573430478,0.1876512351423937,5
baseline_ae_p90,MQTT_DoS_Connect_Flood,,,,,0,1.0,0.0,1.0,1.0,5,0.9648556263364819,3.0243358630544002e-05,0.9648143831225596,0.9648894726696464,5,0.19022522402744166,0.0006479102258108963,0.1896721355066875,0.1911080383971069,5
baseline_ae_p90,MQTT_Malformed_Data,0.35296423461885057,0.011734749169418177,0.3347457627118644,0.3648915187376725,5,0.8216370921579852,0.010605813764145948,0.815684029765312,0.8402976531196337,5,0.9645705102054538,7.114710041396808e-06,0.9645610959935804,0.9645801485652292,5,0.18854468582976572,0.00043798194389095335,0.1878373707022629,0.1889807748557449,5
baseline_ae_p90,Recon_Ping_Sweep,0.1612903225806451,0.0,0.1612903225806451,0.1612903225806451,3,0.8508875739644971,0.0077150324321924755,0.8461538461538461,0.863905325443787,5,0.964802279135865,3.334459022921318e-05,0.9647639498446656,0.9648491260473312,5,0.18967745366554095,0.0006906955611773747,0.1888212300901428,0.1905230409232323,5
baseline_ae_p90,Recon_VulScan,0.4588726251163459,0.012509085286138765,0.4406130268199233,0.4704761904761905,5,0.7060637204522097,0.0054866794717529895,0.6998972250770812,0.7142857142857143,5,0.9648533848574644,2.666794892228708e-05,0.9648289527361734,0.9648849897116112,5,0.18891163879065065,0.0005551047235104432,0.1883425957933363,0.1896189539181535,5
baseline_ae_p95,ARP_Spoofing,0.18717653409628013,0.011647087658307027,0.1770186335403726,0.2056962025316455,5,0.8525229357798165,0.0038549853931127594,0.8480504587155964,0.8560779816513762,5,0.959750209578288,0.00023861567998460372,0.9593944868582084,0.9600142558065514,5,0.07377881777328685,0.005730905327029656,0.0652272183370117,0.0800914723322785,5
baseline_ae_p95,MQTT_DoS_Connect_Flood,,,,,0,1.0,0.0,1.0,1.0,5,0.9600613268659192,0.00032838432607589435,0.9597172598367306,0.9605398826361586,5,0.07903315872045094,0.00792531474673718,0.0703592416305475,0.0906746084505544,5
baseline_ae_p95,MQTT_Malformed_Data,0.2725926348844256,0.011573510955664869,0.2584745762711864,0.2848484848484848,5,0.7995420721236405,0.010596541595305846,0.7910704064109902,0.81740125930166,5,0.9595238201975193,0.0002280940326077055,0.959350778017367,0.959882008544518,5,0.07200787087510299,0.005252203559940812,0.0683915228547876,0.080570106629085,5
baseline_ae_p95,Recon_Ping_Sweep,0.07526881720430102,0.018624202231923452,0.064516129032258,0.0967741935483871,3,0.8366863905325443,0.009901302089160655,0.8284023668639053,0.8520710059171598,5,0.960298699493874,0.00014120294876132853,0.9600579646473928,0.9603919450210028,5,0.08535113143829602,0.0035432370555074405,0.0793203392985348,0.0876964394926476,5
baseline_ae_p95,Recon_VulScan,0.3654068493121557,0.013820837693587495,0.3448275862068966,0.3775700934579439,5,0.6552929085303186,0.005930745342755802,0.6485097636176773,0.6639260020554985,5,0.9600084279611059,0.0003774017700742854,0.9596388080711176,0.9604681553075982,5,0.07641662456457572,0.008848192175977182,0.0679926609407823,0.0873507591671763,5
