variant,variant_name,h2_strict_pass_int_mean,h2_strict_pass_int_std,h2_strict_pass_int_min,h2_strict_pass_int_max,h2_strict_pass_int_p05,h2_strict_pass_int_p95,h2_strict_avg_mean,h2_strict_avg_std,h2_strict_avg_min,h2_strict_avg_max,h2_strict_avg_p05,h2_strict_avg_p95,h2_binary_pass_int_mean,h2_binary_pass_int_std,h2_binary_pass_int_min,h2_binary_pass_int_max,h2_binary_pass_int_p05,h2_binary_pass_int_p95,h2_binary_avg_mean,h2_binary_avg_std,h2_binary_avg_min,h2_binary_avg_max,h2_binary_avg_p05,h2_binary_avg_p95,avg_flag_rate_mean,avg_flag_rate_std,avg_flag_rate_min,avg_flag_rate_max,avg_flag_rate_p05,avg_flag_rate_p95,avg_false_alert_rate_mean,avg_false_alert_rate_std,avg_false_alert_rate_min,avg_false_alert_rate_max,avg_false_alert_rate_p05,avg_false_alert_rate_p95,strict_pass_count,binary_pass_count
baseline_ae_p90,"Baseline (Phase 6, AE p90)",0.0,0.0,0.0,0.0,0.0,0.0,0.3387244618341604,0.028360345138643245,0.3140673413192474,0.3697750559449705,0.3152453402992186,0.36973457377470303,4.8,0.4472135954999579,4.0,5.0,4.2,5.0,0.850258961718608,0.0036118325536923005,0.8476562760013501,0.8566184321591234,0.847846403330923,0.8551562030969615,0.9647481698323823,5.627407063234143e-06,0.96474019016708,0.9647549839285954,0.964741355736169,0.9647543114848901,0.1888956843140904,9.134237794726561e-05,0.1888052756135825,0.1890286382854255,0.18880953014066526,0.1890116201770946,0,4
baseline_ae_p95,Baseline (AE p95),0.0,0.0,0.0,0.0,0.0,0.0,0.24504535147603165,0.027882695933497265,0.2183786235104966,0.2765857953261029,0.2189440308584607,0.2757955744843461,4.0,0.0,4.0,4.0,4.0,4.0,0.828808861393264,0.004055606597959429,0.8264045257082806,0.8358159433744351,0.8264074358671549,0.834427840326711,0.9599284968193414,8.272357408831997e-05,0.9597986255250665,0.9600250149058354,0.9598235507717412,0.9600124626233373,0.07731752067434251,0.001966933831432505,0.074188316004999,0.079559656446938,0.07477969526949764,0.07925333049698188,0,0
confidence_0.6,Confidence floor (τ=0.6),0.0,0.0,0.0,0.0,0.0,0.0,0.4190692746141694,0.01923393990032093,0.3956801590619956,0.4411568939230978,0.39702164293156894,0.4388503402216872,5.0,0.0,5.0,5.0,5.0,5.0,0.8677586027620787,0.004782112330124529,0.8634922780429433,0.8754711578077277,0.8636044743926641,0.873977460115325,0.9650613492807094,1.2393575113773173e-05,0.965047721088283,0.9650804466819386,0.9650488866573721,0.9650769499746713,0.19239184194431883,0.0002533699474813711,0.1921184885792538,0.1927885765947829,0.19214401574175013,0.19271944052968862,0,5
confidence_0.7,Confidence floor (τ=0.7),0.0,0.0,0.0,0.0,0.0,0.0,0.5309545334966281,0.013647156648687715,0.5127686122170548,0.545574923380043,0.5143566141578899,0.5440847765845361,5.0,0.0,5.0,5.0,5.0,5.0,0.8919485322142284,0.002096071091379962,0.8892141516582583,0.8946428139701226,0.8895925390756372,0.8943787011725485,0.9654168478528872,1.5067508056793416e-05,0.9654041162520676,0.9654393074726428,0.9654042059112283,0.9654363935499201,0.1973898476347488,0.00033545317174047323,0.1969580131358523,0.1977876459169835,0.19701757651501042,0.19776318238625784,0,5
entropy_benign_p90,Entropy (benign-val p90),3.6,0.5477225575051661,3.0,4.0,3.0,4.0,0.9135914579748281,0.020618223247812834,0.8822145491303391,0.9342393300613652,0.8874649886176,0.9333544445163849,5.0,0.0,5.0,5.0,5.0,5.0,0.9764122488938849,0.0030248035004962616,0.9728840311480722,0.979110100240996,0.9729794216887584,0.9789820481290264,0.9693851623054955,1.566022433470059e-05,0.9693710858172656,0.9694080702210546,0.9693712203060066,0.9694051114687514,0.27786316377270187,0.000457608950765537,0.277379211317042,0.2784056159757492,0.2773855931076661,0.2783598798096099,3,5
entropy_benign_p95,Entropy (benign-val p95),3.6,0.5477225575051661,3.0,4.0,3.0,4.0,0.7990254885295258,0.022540863527488943,0.7644214557388826,0.8267293642267635,0.7706411015122212,0.822369586523452,5.0,0.0,5.0,5.0,5.0,5.0,0.9520293699417067,0.0034429880572761627,0.949319260492548,0.9558094966814978,0.9493287049014819,0.9558030638374643,0.9671873024696616,8.332153687546877e-06,0.9671786951902342,0.9671990926492936,0.9671792779747789,0.9671977477618832,0.22893184779429357,0.0003120404498562076,0.2285266040896641,0.2293934639827691,0.22858935836413427,0.22931262796819737,3,5
entropy_benign_p99,Entropy (benign-val p99),0.0,0.0,0.0,0.0,0.0,0.0,0.44021455452378555,0.005841221184590996,0.4316328783675826,0.4481139043273532,0.4333437911326162,0.44666534048127926,5.0,0.0,5.0,5.0,5.0,5.0,0.8745761281018348,0.003253599932457877,0.8713641573038426,0.8797635027580046,0.8716361059730159,0.8788969971253302,0.9651727059582995,1.6343287400277638e-05,0.9651499325314816,0.9651940896681266,0.9651534292387489,0.9651913998933055,0.1934905735634323,0.00032046044396378723,0.1929534395192384,0.1938096630946366,0.19306618448693058,0.1937703087191214,0,5
ensemble_p90,Ensemble AE+IF (p90),0.0,0.0,0.0,0.0,0.0,0.0,0.23230012925168597,0.020731165624581452,0.2166505631036532,0.2671349502126207,0.21714995226499476,0.26074424348819375,4.0,0.0,4.0,4.0,4.0,4.0,0.8098061593841998,0.0034961777731038605,0.8075696339064183,0.8157997067989514,0.8075702810799527,0.8146394075560979,0.9629427929725152,8.709644500637652e-05,0.9628015349648312,0.9630382351490808,0.962830046577934,0.9630259966736452,0.15192809849230193,0.0021745788325493033,0.1484138591219719,0.1543063791315446,0.14909564708697842,0.15400537134044187,0,0
ensemble_p95,Ensemble AE+IF (p95),0.0,0.0,0.0,0.0,0.0,0.0,0.09183374817090881,0.016791723410845914,0.0747027476435175,0.1165427540121585,0.07617738946786093,0.11340796590755187,4.0,0.0,4.0,4.0,4.0,4.0,0.7816081370748643,0.005554543647955697,0.7769682716775612,0.7908707751295748,0.7773091852301781,0.7891972714277934,0.9617127589468636,0.00012223765613178923,0.9615189606710092,0.9618332160292647,0.9615528518337539,0.9618257294893463,0.12559363948201133,0.0029651919177650942,0.1208338873082139,0.1283324912915149,0.12167522003882256,0.1282091100061159,0,0
conf07_ent_p95,"Confidence + Entropy (τ=0.7, benign p95)",3.6,0.5477225575051661,3.0,4.0,3.0,4.0,0.7990254885295258,0.022540863527488943,0.7644214557388826,0.8267293642267635,0.7706411015122212,0.822369586523452,5.0,0.0,5.0,5.0,5.0,5.0,0.9520293699417067,0.0034429880572761627,0.949319260492548,0.9558094966814978,0.9493287049014819,0.9558030638374643,0.9671873024696616,8.332153687546877e-06,0.9671786951902342,0.9671990926492936,0.9671792779747789,0.9671977477618832,0.22893184779429357,0.0003120404498562076,0.2285266040896641,0.2293934639827691,0.22858935836413427,0.22931262796819737,3,5
