percentile,ent_threshold,target,n_target,n_loo_benign,h2_strict_rescue_recall,h2_binary_recall,false_alert_rate_benign
85.0,0.03764260094612837,Recon_Ping_Sweep,169,31,1.0,1.0,0.3202063445635121
85.0,0.03764260094612837,Recon_VulScan,973,522,0.921455938697318,0.9578622816032888,0.32081793283165366
85.0,0.03764260094612837,MQTT_Malformed_Data,1747,472,0.9703389830508474,0.9919862621637092,0.3177334006966788
85.0,0.03764260094612837,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.31980748264950676
85.0,0.03764260094612837,ARP_Spoofing,1744,316,0.9936708860759493,0.9988532110091743,0.31422341585343155
85.5,0.04303998751565806,Recon_Ping_Sweep,169,31,1.0,1.0,0.31669635972026483
85.5,0.04303998751565806,Recon_VulScan,973,522,0.9157088122605364,0.9547790339157246,0.3177334006966788
85.5,0.04303998751565806,MQTT_Malformed_Data,1747,472,0.9703389830508474,0.9919862621637092,0.3143829606190337
85.5,0.04303998751565806,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.31637727018906053
85.5,0.04303998751565806,ARP_Spoofing,1744,316,0.9936708860759493,0.9988532110091743,0.3103411598904459
86.0,0.04931268095970154,Recon_Ping_Sweep,169,31,1.0,1.0,0.31358523679102296
86.0,0.04931268095970154,Recon_VulScan,973,522,0.9061302681992337,0.9496402877697842,0.31422341585343155
86.0,0.04931268095970154,MQTT_Malformed_Data,1747,472,0.9703389830508474,0.9919862621637092,0.3107134310101843
86.0,0.04931268095970154,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.3134256920254208
86.0,0.04931268095970154,ARP_Spoofing,1744,316,0.990506329113924,0.9982798165137615,0.30627276836759115
86.5,0.05521833896636963,Recon_Ping_Sweep,169,31,1.0,1.0,0.31058047703884917
86.5,0.05521833896636963,Recon_VulScan,973,522,0.9061302681992337,0.9496402877697842,0.3110591113356556
86.5,0.05521833896636963,MQTT_Malformed_Data,1747,472,0.9703389830508474,0.9919862621637092,0.3073098093440051
86.5,0.05521833896636963,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.31050070465604807
86.5,0.05521833896636963,ARP_Spoofing,1744,316,0.990506329113924,0.9982798165137615,0.3026830111415428
87.0,0.0628708828240634,Recon_Ping_Sweep,169,31,1.0,1.0,0.3068577658414657
87.0,0.0628708828240634,Recon_VulScan,973,522,0.9042145593869731,0.9486125385405961,0.3072566277554711
87.0,0.0628708828240634,MQTT_Malformed_Data,1747,472,0.9682203389830508,0.9914138523182598,0.3038530060892919
87.0,0.0628708828240634,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.30709708298986893
87.0,0.0628708828240634,ARP_Spoofing,1744,316,0.9873417721518988,0.9977064220183486,0.29800303135054645
87.5,0.07077118754386902,Recon_Ping_Sweep,169,31,1.0,1.0,0.30337437179248544
87.5,0.07077118754386902,Recon_VulScan,973,522,0.8984674329501916,0.9455292908530318,0.30401255085489404
87.5,0.07077118754386902,MQTT_Malformed_Data,1747,472,0.9682203389830508,0.9914138523182598,0.2999441593320393
87.5,0.07077118754386902,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.3036668705294227
87.5,0.07077118754386902,ARP_Spoofing,1744,316,0.9778481012658228,0.9959862385321101,0.29284441726274363
88.0,0.08091185539960848,Recon_Ping_Sweep,169,31,1.0,1.0,0.2994921158294998
88.0,0.08091185539960848,Recon_VulScan,973,522,0.8888888888888888,0.9403905447070915,0.30047597521737973
88.0,0.08091185539960848,MQTT_Malformed_Data,1747,472,0.9661016949152542,0.9908414424728106,0.29568963224931527
88.0,0.08091185539960848,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.30015688568617543
88.0,0.08091185539960848,ARP_Spoofing,1744,316,0.9683544303797469,0.9942660550458715,0.28773898476347487
88.5,0.092029352299869,Recon_Ping_Sweep,169,31,1.0,1.0,0.2946260004786343
88.5,0.092029352299869,Recon_VulScan,973,522,0.8754789272030651,0.9331963001027749,0.29608849416332067
88.5,0.092029352299869,MQTT_Malformed_Data,1747,472,0.9661016949152542,0.9908414424728106,0.2917541946977956
88.5,0.092029352299869,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.29638099290025793
88.5,0.092029352299869,ARP_Spoofing,1744,316,0.9556962025316456,0.9919724770642202,0.2821283271731327
89.0,0.10337232500314718,Recon_Ping_Sweep,169,31,1.0,1.0,0.2911691972239211
89.0,0.10337232500314718,Recon_VulScan,973,522,0.8716475095785441,0.9311408016443987,0.29209987502326695
89.0,0.10337232500314718,MQTT_Malformed_Data,1747,472,0.9661016949152542,0.9908414424728106,0.2868614885526631
89.0,0.10337232500314718,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.29199351184619887
89.0,0.10337232500314718,ARP_Spoofing,1744,316,0.9462025316455697,0.9902522935779816,0.2761719892573191
89.5,0.11588926464319255,Recon_Ping_Sweep,169,31,1.0,1.0,0.28651580822719175
89.5,0.11588926464319255,Recon_VulScan,973,522,0.8544061302681992,0.9218910585817061,0.2873135320552025
89.5,0.11588926464319255,MQTT_Malformed_Data,1747,472,0.9427966101694916,0.9845449341728678,0.2828994602068764
89.5,0.11588926464319255,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.28813784667748027
89.5,0.11588926464319255,ARP_Spoofing,1744,316,0.9430379746835443,0.9896788990825688,0.270720876432579
90.0,0.13031890243291855,Recon_Ping_Sweep,169,31,1.0,1.0,0.28191560081899647
90.0,0.13031890243291855,Recon_VulScan,973,522,0.8390804597701149,0.9136690647482014,0.28252718908713803
90.0,0.13031890243291855,MQTT_Malformed_Data,1747,472,0.864406779661017,0.9633657698912421,0.2788310686840216
90.0,0.13031890243291855,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.28337809450368284
90.0,0.13031890243291855,ARP_Spoofing,1744,316,0.930379746835443,0.9873853211009175,0.264232722631425
90.5,0.14540667682886121,Recon_Ping_Sweep,169,31,1.0,1.0,0.27771425532480654
90.5,0.14540667682886121,Recon_VulScan,973,522,0.8333333333333334,0.9105858170606372,0.2775015289706704
90.5,0.14540667682886121,MQTT_Malformed_Data,1747,472,0.8347457627118644,0.9553520320549513,0.2744169968356955
90.5,0.14540667682886121,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.27803334485601083
90.5,0.14540667682886121,ARP_Spoofing,1744,316,0.9208860759493671,0.9856651376146789,0.25795729518440713
91.0,0.16325655132532124,Recon_Ping_Sweep,169,31,1.0,1.0,0.2723695056771346
91.0,0.16325655132532124,Recon_VulScan,973,522,0.8295019157088123,0.9085303186022611,0.2726354136198048
91.0,0.16325655132532124,MQTT_Malformed_Data,1747,472,0.8305084745762712,0.9542072123640527,0.26848724971414895
91.0,0.16325655132532124,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.2726885952083389
91.0,0.16325655132532124,ARP_Spoofing,1744,316,0.9113924050632911,0.9839449541284404,0.25024596484697
91.5,0.1815398350358018,Recon_Ping_Sweep,169,31,1.0,1.0,0.26752998112053605
91.5,0.1815398350358018,Recon_VulScan,973,522,0.8199233716475096,0.9033915724563206,0.2678224798574733
91.5,0.1815398350358018,MQTT_Malformed_Data,1747,472,0.8305084745762712,0.9542072123640527,0.26417954104289093
91.5,0.1815398350358018,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.2676363442976042
