,Case1_pct,Case2_pct,Case3_pct,Case4_pct,n_test
ARP_Spoofing,51.60550458715596,3.211009174311927,33.94495412844037,11.238532110091743,1744
Benign,2.7548062860637645,15.40404711888744,0.27920333980375994,81.56194325524504,37607
DDoS_ICMP,99.58826818482184,0.0,0.40664870634880296,0.005083108829360037,19673
DDoS_SYN,99.7188515648722,0.0011245937405112403,0.27889924764678764,0.0011245937405112403,88921
DDoS_TCP,98.79793932455638,0.0,1.1906124785346308,0.011448196908986834,8735
DDoS_UDP,99.97707625597259,0.0,0.02264755434032093,0.00027618968707708455,362070
DoS_ICMP,97.56241864868062,0.0,2.4257484321382083,0.011832919181161992,8451
DoS_SYN,100.0,0.0,0.0,0.0,97542
DoS_TCP,99.98825822511331,0.0,0.011741774886691873,0.0,42583
DoS_UDP,99.99200308244822,0.0,0.007996917551780041,0.0,137553
MQTT_DDoS_Connect_Flood,100.0,0.0,0.0,0.0,41916
MQTT_DDoS_Publish_Flood,26.105038022813687,0.0,73.89496197718631,0.0,8416
MQTT_DoS_Connect_Flood,99.96806132226126,0.0,0.031938677738741615,0.0,3131
MQTT_DoS_Publish_Flood,6.208112874779541,0.0,93.79188712522047,0.0,8505
MQTT_Malformed_Data,53.863766456783054,1.6599885518030912,37.034917000572406,7.441327990841443,1747
Recon_OS_Scan,84.80108806528392,1.6660999659979598,7.990479428765726,5.5423325399523975,2941
Recon_Ping_Sweep,51.4792899408284,2.9585798816568047,33.72781065088758,11.834319526627219,169
Recon_Port_Scan,95.82971772752794,0.08167015466285539,3.726200806492777,0.3624113113164208,19591
Recon_VulScan,43.06269270298047,19.63001027749229,1.9527235354573484,35.35457348406988,973
