feature,ddos_syn_mean_abs_shap,dos_syn_mean_abs_shap,abs_difference
IAT,0.98821884,2.275009,1.2867901
syn_flag_number,0.9568989,0.53563815,0.42126077
Tot sum,0.10036028,0.41754702,0.31718674
TCP,0.29669863,0.021941314,0.27475733
syn_count,0.5421822,0.711151,0.1689688
Protocol Type,0.02542242,0.08570788,0.06028546
rst_flag_number,0.1387985,0.08109545,0.057703055
rst_count,0.13378347,0.08116483,0.052618645
Min,0.01597887,0.053038213,0.037059344
Variance,0.09401435,0.057518303,0.036496043
psh_flag_number,0.029138574,0.065195456,0.036056884
ack_count,0.003750396,0.038461037,0.034710642
Max,0.044514,0.010644661,0.03386934
Srate,0.048128538,0.0144453,0.033683237
Rate,0.072356604,0.04689076,0.025465842
fin_count,0.045051385,0.023426913,0.021624472
Magnitue,0.004983343,0.025379844,0.0203965
ack_flag_number,0.060363963,0.03997402,0.020389944
Number,0.09767096,0.11655835,0.018887393
Duration,0.02301704,0.039260127,0.016243087
Radius,0.021137107,0.0074567865,0.01368032
Tot size,0.014714203,0.025552286,0.010838083
Header_Length,0.058491223,0.049413674,0.009077549
fin_flag_number,0.0027671724,0.009974308,0.0072071357
Weight,0.022552356,0.028434226,0.00588187
Std,0.02150954,0.015923308,0.005586231
UDP,0.06297697,0.06670557,0.0037285984
AVG,0.0167764,0.013814261,0.0029621385
Covariance,0.013782498,0.011093446,0.0026890524
HTTPS,0.005717194,0.007330658,0.0016134637
ARP,0.0010436196,0.00017228117,0.0008713384
IPv,0.0003521618,8.37264e-05,0.0002684354
LLC,0.00019422271,0.0,0.00019422271
DNS,1.0151917e-05,8.940338e-05,7.925146e-05
ICMP,1.3139064e-06,0.0,1.3139064e-06
DHCP,0.0,0.0,0.0
HTTP,0.0,0.0,0.0
cwr_flag_number,0.0,0.0,0.0
ece_flag_number,0.0,0.0,0.0
Telnet,0.0,0.0,0.0
SMTP,0.0,0.0,0.0
SSH,0.0,0.0,0.0
IRC,0.0,0.0,0.0
IGMP,0.0,0.0,0.0
