rank,feature,mean_abs_shap
1,IAT,0.87249833
2,Rate,0.21837853
3,TCP,0.18347068
4,syn_count,0.1764571
5,Header_Length,0.15185699
6,syn_flag_number,0.12966281
7,UDP,0.1206751
8,Min,0.103565596
9,Number,0.09270583
10,Tot sum,0.09198029
11,rst_count,0.08810729
12,Protocol Type,0.08492408
13,Tot size,0.07965906
14,ack_flag_number,0.07782429
15,Variance,0.06808916
16,psh_flag_number,0.062690996
17,Srate,0.052597385
18,fin_count,0.051425904
19,rst_flag_number,0.048622236
20,ack_count,0.04305827
21,Max,0.035545964
22,Weight,0.03232289
23,Magnitue,0.030910332
24,Covariance,0.030834896
25,AVG,0.026581995
26,fin_flag_number,0.018925851
27,ICMP,0.014850649
28,Std,0.013645233
29,Duration,0.013429146
30,Radius,0.013184497
31,HTTPS,0.012505422
32,ARP,0.005754487
33,IPv,0.0007695783
34,HTTP,0.0005114948
35,DNS,0.00020388518
36,LLC,0.00017374718
37,Telnet,9.222654e-06
38,SSH,6.1229644e-06
39,IRC,1.1699605e-06
40,IGMP,1.7581968e-07
41,cwr_flag_number,0.0
42,SMTP,0.0
43,DHCP,0.0
44,ece_flag_number,0.0
