,IAT,Rate,Header_Length,Tot sum,Min,Max,Covariance,Variance,Duration,ack_count,syn_count,fin_count,rst_count,Srate,AVG,Std,Tot size,Number,Magnitue,Radius,Weight,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,HTTP,HTTPS,DNS,TCP,DHCP,ARP,ICMP,Protocol Type,UDP,IPv,LLC,Telnet,SMTP,SSH,IRC,IGMP
ARP_Spoofing,0.079404965,0.17934953,0.28722852,0.025647419,0.063032724,0.0860215,0.026533542,0.18443531,0.028466312,0.010700283,0.030624285,0.15667114,0.09020313,0.03912165,0.03182774,0.03436473,0.34205472,0.12015042,0.0479082,0.024497222,0.016993094,0.01306212,0.085388675,0.05597746,0.0575976,0.080732636,0.0,0.0,0.0005034625,0.010475548,0.00030104254,0.0076426035,0.0,0.007993118,0.0031791856,0.16747108,0.19373028,0.007720089,0.00026988238,0.0,0.0,0.0,0.0,0.0
Benign,0.36126378,0.20952497,0.07336953,0.014450207,0.07083273,0.14387463,0.019722305,0.04823145,0.022745129,0.014690421,0.14205724,0.2140262,0.22627771,0.054137275,0.018076392,0.0073077925,0.07254672,0.16590178,0.06958916,0.010387397,0.06076544,0.00068834,0.10995533,0.0044321604,0.1136624,0.029515212,0.0,0.0,0.005875196,0.020910192,0.00047893706,0.08649856,0.0,0.007666265,0.007789214,0.052377086,0.10723204,0.0008274176,0.00020825221,0.0,0.0,0.0,0.0,3.340574e-06
DDoS_ICMP,0.25287393,0.031001126,0.031592228,0.028538657,0.0219913,0.0077861715,0.010615826,0.03932181,0.003923751,1.7853701e-05,0.04467825,0.0008487833,0.018774308,0.013768498,0.008561094,0.004592369,0.009756811,0.14488757,0.008638078,0.010115887,0.024048295,2.5963595e-06,0.0053187083,0.00021754683,0.005616862,0.007454148,0.0,0.0,0.0,0.02706291,8.241689e-05,0.09988863,0.0,0.0009978921,0.11197789,0.07533282,0.012590006,0.00021929257,9.791612e-05,0.0,0.0,0.0,0.0,0.0
DDoS_SYN,0.98821884,0.072356604,0.058491223,0.10036028,0.01597887,0.044514,0.013782498,0.09401435,0.02301704,0.003750396,0.5421822,0.045051385,0.13378347,0.048128538,0.0167764,0.02150954,0.014714203,0.09767096,0.004983343,0.021137107,0.022552356,0.0027671724,0.9568989,0.1387985,0.029138574,0.060363963,0.0,0.0,0.0,0.005717194,1.0151917e-05,0.29669863,0.0,0.0010436196,1.3139064e-06,0.02542242,0.06297697,0.0003521618,0.00019422271,0.0,0.0,0.0,0.0,0.0
DDoS_TCP,0.25560275,0.10363535,0.11657055,0.21083125,0.1519115,0.009908016,0.009274126,0.05122977,0.0075090905,0.0010179521,0.36652943,0.027764661,0.06123611,0.02087353,0.010174662,0.01916938,0.026413644,0.10546816,0.013030638,0.0035927426,0.03915525,0.0,0.21812312,0.0027180957,0.043447796,0.20999114,0.0,0.0,1.1812929e-05,0.0031912776,5.1680803e-07,0.9052115,0.0,0.0007027143,0.00013020245,0.019462164,0.020870602,0.00028949804,0.0,0.0,0.0,0.0,0.0,0.0
DDoS_UDP,5.447798,1.1343851,0.21720268,0.022040304,0.09692256,0.021912957,0.014531233,0.037803948,0.0032141625,0.00024349468,0.005060421,0.00045680514,0.020265725,0.1932076,0.017509319,0.006423188,0.05585025,0.039731704,0.0043645795,0.0056577954,0.050746437,3.5338006e-05,3.053461e-05,9.2909286e-05,0.032846477,0.0026029546,0.0,0.0,0.0,0.019187137,0.0,0.016782023,0.0,0.000637937,0.001407374,0.23025781,0.37440023,0.00034114724,0.0,0.0,0.0,0.0,0.0,0.0
DoS_ICMP,0.8438054,0.08611609,0.04641391,0.09232889,0.1219146,0.043200042,0.020772269,0.020996936,0.0057582795,8.318959e-06,0.044629447,0.0,0.012712185,0.037296455,0.009607733,0.0034329528,0.019969882,0.04722713,0.015387238,0.007786779,0.03310636,7.423956e-05,0.03875343,0.0,0.058913104,0.028860498,0.0,0.0,0.0,0.009456753,3.3984164e-05,0.071769714,0.0,0.0042500035,0.124124855,0.10983364,0.035848655,0.0012484522,0.00031560173,0.0,0.0,0.0,0.0,0.0
DoS_SYN,2.275009,0.04689076,0.049413674,0.41754702,0.053038213,0.010644661,0.011093446,0.057518303,0.039260127,0.038461037,0.711151,0.023426913,0.08116483,0.0144453,0.013814261,0.015923308,0.025552286,0.11655835,0.025379844,0.0074567865,0.028434226,0.009974308,0.53563815,0.08109545,0.065195456,0.03997402,0.0,0.0,0.0,0.007330658,8.940338e-05,0.021941314,0.0,0.00017228117,0.0,0.08570788,0.06670557,8.37264e-05,0.0,0.0,0.0,0.0,0.0,0.0
DoS_TCP,1.2761465,0.04217081,0.034521684,0.2572149,0.042858224,0.0015650652,0.01677314,0.05404801,0.0018195526,0.0,0.30263734,0.10715129,0.09931333,0.055842724,0.0068821977,0.005209322,0.020258456,0.039278965,0.0075516305,0.0014251601,0.018975196,0.0,0.21986614,0.0094077755,0.09086798,0.16785324,0.0,0.0,3.5594974e-05,0.008886112,1.0235228e-05,0.82892346,0.0,0.0002886838,6.545187e-05,0.006472365,0.03180115,0.0,4.301055e-05,0.0,0.0,0.0,0.0,0.0
DoS_UDP,2.7929904,0.6599853,0.36074948,0.051318098,0.103952914,0.011452575,0.011542836,0.045548998,0.0028062128,0.00012263679,0.011795349,4.0383282e-05,0.025439503,0.16816154,0.020547247,0.015758919,0.099380225,0.0819262,0.030040283,0.0045769936,0.034344364,6.391668e-05,0.00015257625,0.0,0.02787502,0.010651954,0.0,0.0,1.2370269e-06,0.008734414,0.00026384045,0.15685944,0.0,0.0005983845,0.0051162858,0.25464442,0.83285725,9.4401476e-05,0.0,0.0,0.0,0.0,0.0,0.0
MQTT_DDoS_Connect_Flood,0.5506338,0.043441016,0.26884514,0.026794333,0.13354784,0.040663924,0.020680934,0.027069025,6.52597e-05,0.5140741,0.2573481,0.008990307,0.014659297,0.013673266,0.018705644,0.005955992,0.059634175,0.008828113,0.026674284,0.0101443175,0.004014999,0.15388806,0.07521552,0.22808677,0.005218338,0.044723798,0.0,0.0,0.0,0.0006125636,0.0,0.06348377,0.0,0.0,0.0,0.0,0.015599299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQTT_DDoS_Publish_Flood,0.222997,0.020682001,0.03634636,0.096758515,0.036745504,0.0053424006,0.01855563,0.20190911,0.0010229287,0.10950455,0.0050755967,0.055818677,0.13615495,0.005899671,0.0064652883,0.030172372,0.06694879,0.018493904,0.010806476,0.004011535,0.0015415526,0.0008202814,0.018211368,0.120049484,0.12078739,0.0035789516,0.0,0.0,2.160874e-05,0.024976632,2.9304927e-05,0.12747985,0.0,0.0,0.0,3.3418228e-06,0.01633721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQTT_DoS_Connect_Flood,0.31005576,0.29911146,0.4035775,0.15234691,0.00075165683,1.1377462e-06,0.14634115,0.009070747,3.6201433e-05,0.027940847,0.016623514,0.034604594,0.026991311,0.048460063,1.5120774e-07,8.239365e-05,0.00054414495,0.008212281,0.0,0.004987471,0.03525352,0.14978148,0.042046033,0.17327693,0.19267231,0.06434421,0.0,0.0,0.0,0.003743642,0.0,0.0024217113,0.0,0.00030940372,0.0,0.00010211474,0.00019318117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQTT_DoS_Publish_Flood,0.19018322,0.19412336,0.035768405,0.060851026,0.20732781,0.002620516,0.03323629,0.11541865,2.8122473e-05,0.00018069171,0.005427825,0.00034744616,0.031437274,0.03326498,0.01864224,0.00081786833,0.013335178,0.04522688,0.017687645,0.0037277646,0.05468199,8.272769e-05,0.001838125,0.0,0.10943977,0.27198246,0.0,0.0,0.00024588755,0.022074217,0.0,0.00036561914,0.0,0.0011107819,0.0,0.00012332655,0.003679414,0.000428333,0.0,0.0,0.0,0.0,0.0,0.0
MQTT_Malformed_Data,0.29892895,0.19083354,0.09409037,0.032353114,0.07296377,0.047575932,0.047668353,0.19808885,0.009587918,0.020275535,0.06715252,0.153155,0.16948548,0.056153316,0.08406115,0.016172832,0.07012566,0.22469378,0.06314114,0.025997989,0.044892274,0.007662527,0.032525726,0.013484436,0.06917056,0.31467998,0.0,0.0,0.0006042971,0.01429144,0.0010457946,0.061077498,0.0,0.0023026885,0.0,0.20347992,0.15458876,0.00066148746,0.0,0.0,0.0,0.0,0.0,0.0
Recon_OS_Scan,0.15792616,0.2738732,0.09135453,0.043579977,0.03337733,0.022920663,0.016083417,0.011694181,0.015630804,0.024548996,0.26380846,0.06277537,0.15748948,0.06272868,0.1178176,0.015178761,0.05247854,0.1338077,0.04241378,0.016353194,0.08144303,0.01007309,0.0448896,0.023535494,0.029873751,0.012660137,0.0,0.0,0.00043101588,0.010895927,0.0004336905,0.49016005,0.0,0.012382984,0.00675259,0.20997061,0.061021592,0.00024399711,4.942636e-06,3.6001085e-05,0.0,7.7902914e-05,1.5780457e-05,0.0
Recon_Ping_Sweep,0.073843904,0.18245988,0.40952167,0.065966524,0.1705071,0.12799042,0.112184815,0.015840711,0.0094634695,0.0017951963,0.087099604,0.0058856383,0.073218435,0.036882527,0.029229254,0.02737962,0.11182643,0.01780586,0.029162582,0.034365956,0.0035469646,0.0032472902,0.010722202,0.0,0.0776796,0.009246022,0.0,0.0,0.0,0.004842301,2.1278931e-05,0.015518518,0.0,0.06549382,0.006500299,0.041600298,0.12042879,0.0005822729,0.0011761234,0.0,0.0,0.0,0.0,0.0
Recon_Port_Scan,0.14744657,0.14690985,0.0485737,0.036400076,0.20143825,0.021029677,0.025879467,0.06864681,0.0592945,0.008798724,0.28885913,0.043971498,0.13482383,0.04425465,0.039908223,0.008671525,0.3647165,0.22066346,0.08049918,0.03866098,0.038411524,0.0061557754,0.043279067,0.035910014,0.01755064,0.07196796,0.0,0.0,0.0005580703,0.010837937,9.722589e-05,0.086341135,0.0,0.0013484411,0.005782554,0.02835715,0.040612463,0.0011718152,0.00077185314,2.0190464e-05,0.0,1.5647105e-05,6.4487904e-06,0.0
Recon_VulScan,0.052303422,0.2323382,0.22166462,0.0122878775,0.36865622,0.02634721,0.010589241,0.012810846,0.021503907,0.041976642,0.15993975,0.036112525,0.16060805,0.05305175,0.036451895,0.021135185,0.08741687,0.12487923,0.09003575,0.015621857,0.021227624,0.0012153666,0.024753114,0.03673919,0.043571617,0.047476735,0.0,0.0,0.0014302185,0.02437691,0.0009759953,0.14687814,0.0,0.0020362325,0.009335202,0.102946386,0.14134799,0.00035789664,0.00021939054,0.00011903888,0.0,2.278629e-05,0.0,0.0
