feature,importance
IAT,0.17274820331479188
Min,0.07891941373003684
TCP,0.06946419125968384
Rate,0.0646685187793041
rst_count,0.06374747158524445
fin_count,0.06357420391988278
Header_Length,0.060882807297680655
syn_flag_number,0.05317946436414686
syn_count,0.050861323562552574
Max,0.045409949449057505
Protocol Type,0.03994112263390147
Tot sum,0.03920950532260763
ack_flag_number,0.03009553357305747
psh_flag_number,0.025046394323534272
ICMP,0.02315269085689363
Variance,0.02087761055387432
ack_count,0.020709615935872457
Duration,0.018465744489548148
rst_flag_number,0.015651844920279854
Covariance,0.014440405281198694
fin_flag_number,0.012640652718527365
HTTPS,0.008967998629432448
ARP,0.006970402210344814
DNS,0.00019279671029644036
HTTP,0.00017851253998985695
ece_flag_number,2.2646355474937022e-06
cwr_flag_number,1.2840769809925448e-06
DHCP,7.332573122520747e-08
