model,feature_set,class,support,f1_original,f1_smote,improvement
RF,reduced,Recon_Ping_Sweep,169,0.6525,0.5314,-0.1211
RF,reduced,Recon_VulScan,973,0.4512,0.4392,-0.012
RF,reduced,ARP_Spoofing,1744,0.4747,0.5682,0.0934
RF,reduced,MQTT_Malformed_Data,1747,0.9067,0.8372,-0.0696
RF,reduced,Recon_OS_Scan,2941,0.7003,0.7025,0.0022
XGB,reduced,Recon_Ping_Sweep,169,0.7628,0.6696,-0.0932
XGB,reduced,Recon_VulScan,973,0.449,0.4436,-0.0053
XGB,reduced,ARP_Spoofing,1744,0.6537,0.5618,-0.0919
XGB,reduced,MQTT_Malformed_Data,1747,0.8999,0.8461,-0.0538
XGB,reduced,Recon_OS_Scan,2941,0.6817,0.7193,0.0376
RF,full,Recon_Ping_Sweep,169,0.7309,0.5545,-0.1764
RF,full,Recon_VulScan,973,0.4468,0.4253,-0.0215
RF,full,ARP_Spoofing,1744,0.5015,0.5118,0.0103
RF,full,MQTT_Malformed_Data,1747,0.9194,0.891,-0.0284
RF,full,Recon_OS_Scan,2941,0.6917,0.6872,-0.0046
XGB,full,Recon_Ping_Sweep,169,0.7767,0.7007,-0.076
XGB,full,Recon_VulScan,973,0.4543,0.44,-0.0143
XGB,full,ARP_Spoofing,1744,0.7579,0.569,-0.1889
XGB,full,MQTT_Malformed_Data,1747,0.8971,0.8868,-0.0103
XGB,full,Recon_OS_Scan,2941,0.693,0.7094,0.0164
