experiment,model,data,feature_set,n_features,task,n_classes,training_time_sec,prediction_time_sec,val_accuracy,val_f1_macro,val_f1_weighted,val_mcc,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,test_accuracy,test_f1_macro,test_f1_weighted,test_mcc,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,report_path
E1,RF,Original,reduced,28,binary,2,86.81,1.65,0.9984396732726774,0.9906164153440257,0.9984529282556266,0.9814030076386174,0.9824339974479658,0.9984940023072821,0.9991106910463994,0.9984396732726774,0.997338243666701,0.9837300690332671,0.9973554368439118,0.9675569381394921,0.9775684966821283,0.9973882628304255,0.9900691916687427,0.997338243666701,
E1,RF,Original,reduced,28,category,6,154.07,3.92,0.9976379156072539,0.9605737224722256,0.9977659310301349,0.9958123355126179,0.9454580598424642,0.9980633627427377,0.9831874097594016,0.9976379156072539,0.9952525474409034,0.9074841543633512,0.9959495069960445,0.9921130219233572,0.887481951410249,0.9971735936009244,0.9687697130157779,0.9952525474409034,
E1,RF,Original,reduced,28,multiclass,19,172.41,7.43,0.995477378030954,0.9249139729709536,0.9956886526382202,0.9944760487978003,0.9015542743533018,0.9961255724527818,0.9630784586650961,0.995477378030954,0.9843455105416758,0.8469353688595,0.983501720982907,0.9800701193529676,0.8672014053633958,0.9893824816710797,0.8809969551280761,0.9843455105416758,E1_classification_report_test.json
E2,RF,SMOTE,reduced,28,binary,2,125.56,2.02,0.9987818599005998,0.9926297149966675,0.9987885711361681,0.9853311809286892,0.987266544357134,0.9988070109312436,0.9981244594738359,0.9987818599005998,0.9975870478376452,0.9850871003451456,0.9975894196019164,0.9701764428130699,0.9841355407130246,0.9975921534364726,0.9860427767827065,0.9975870478376452,
E2,RF,SMOTE,reduced,28,category,6,177.29,4.06,0.9974618389928861,0.9592466935669521,0.9975660647649246,0.9954997323556533,0.9459714506158226,0.9977863744319593,0.9776560739341043,0.9974618389928861,0.995268237794026,0.9081524698813159,0.9959024910754202,0.9921395800037371,0.8878459979635841,0.9970129795533289,0.9654276510301303,0.995268237794026,
E2,RF,SMOTE,reduced,28,multiclass,19,196.87,7.74,0.9951329766028509,0.9182104072957482,0.9953935874488048,0.9940555287372138,0.8942862699434734,0.9959166833678691,0.9607374732039154,0.9951329766028509,0.9837122927192279,0.835550366843555,0.9823287761493438,0.979269567934888,0.8518487193668546,0.9886966377125082,0.8798105479279105,0.9837122927192279,E2_classification_report_test.json
E3,XGB,Original,reduced,28,binary,2,10.07,1.27,0.9990210583201183,0.9940360674253511,0.9990231112873563,0.9880825430014257,0.9919734602785691,0.9990268655318864,0.9961177739299961,0.9990210583201183,0.9972788444727368,0.9831182635108932,0.9972763492100729,0.9662384696863764,0.9840060765087246,0.9972741676579229,0.9822340181327462,0.9972788444727368,
E3,XGB,Original,reduced,28,category,6,67.68,7.33,0.9984130956705086,0.9750283968984631,0.9983999622090457,0.9971851047297074,0.9804817649808628,0.9984010034471023,0.9699730030600326,0.9984130956705086,0.9964853609005366,0.9351788329657708,0.9965376520234577,0.9941519825806251,0.9285507896486666,0.9966216291358385,0.9431757217727407,0.9964853609005366,
E3,XGB,Original,reduced,28,multiclass,19,221.1,19.79,0.9972226405733675,0.9472237536805345,0.9971120276876505,0.9966067814185563,0.9631565059868983,0.9971469604744776,0.9344332856458649,0.9972226405733675,0.9925493237457804,0.8986543741357595,0.9922247787672616,0.9904822859454757,0.9293774689406357,0.9929277275743859,0.8834900398230082,0.9925493237457804,E3_classification_report_test.json
E4,XGB,SMOTE,reduced,28,binary,2,11.43,1.29,0.9987054492943647,0.992052794829447,0.9987032188621977,0.9841125785149947,0.9937547878366924,0.9987021307953272,0.9903636334518706,0.9987054492943647,0.9969997803350563,0.98119747113315,0.9969817175504666,0.9624782229514371,0.9870690499711836,0.9969771036693578,0.9754789540161517,0.9969997803350563,
E4,XGB,SMOTE,reduced,28,category,6,75.91,7.44,0.9979225174304774,0.9683919697275449,0.9979245513438416,0.996314352483634,0.9679007242484375,0.9979277155498109,0.9689027116041666,0.9979225174304774,0.9959093007930353,0.9307250236703434,0.9959791413009778,0.9931929674764166,0.9209198141572154,0.9960824151341491,0.942806060080836,0.9959093007930353,
E4,XGB,SMOTE,reduced,28,multiclass,19,242.68,20.63,0.9954950964323999,0.9287707750270542,0.9957199834102417,0.9944998596701616,0.9104173440127835,0.9963480526199088,0.9595119396698522,0.9954950964323999,0.9859459265601814,0.8537700781047871,0.9850337046591708,0.9820989378340451,0.8650293525993579,0.9899146158699044,0.8850058702958785,0.9859459265601814,E4_classification_report_test.json
E5,RF,Original,full,44,binary,2,113.96,1.93,0.998487291476563,0.9908971382669579,0.9984996812640907,0.9819525313406209,0.9829983181895654,0.9985379410092446,0.9990859892745089,0.998487291476563,0.9980241362460606,0.9880186185579428,0.9980446409905266,0.9762895771868855,0.9781160168297169,0.9981059009675953,0.998383919892404,0.9980241362460606,
E5,RF,Original,full,44,category,6,205.25,4.8,0.9977818776190012,0.9637213613132056,0.9978801110288543,0.9960669139353041,0.9500954612401872,0.9981070585172441,0.9830199629792334,0.9977818776190012,0.9955652337638468,0.9107230240031322,0.9961952350285592,0.9926307144567075,0.8906464884956898,0.9973081437960137,0.9688534646375414,0.9955652337638468,
E5,RF,Original,full,44,multiclass,19,222.52,8.29,0.995608051241617,0.9287507342004045,0.9957547661998405,0.9946348778903823,0.9087729625676331,0.9960488962930277,0.9569989773588077,0.995608051241617,0.9851647711225775,0.855086966892303,0.9843531269567689,0.9811086946757509,0.8770282443675397,0.9896883600663431,0.8805894016046597,0.9851647711225775,E5_classification_report_test.json
