class,n_samples,model,p90,p95,p99,mean_2std,mean_3std
ARP_Spoofing,1744,Autoencoder,0.5527522935779816,0.2861238532110092,0.024655963302752295,0.0017201834862385322,0.0017201834862385322
Benign,37607,Autoencoder,0.18584306113223603,0.06371154306379131,0.008189964634243626,0.00013295397133512377,0.00013295397133512377
DDoS_ICMP,19673,Autoencoder,0.9958826818482184,0.995425202053576,0.9950693844355207,0.9930869719920703,0.990087937782748
DDoS_SYN,88921,Autoencoder,0.9972672372105577,0.996198873157072,0.9950742794165608,0.9811630548464367,0.5876114753545282
DDoS_TCP,8735,Autoencoder,0.9883228391528335,0.9858042358328564,0.08414424728105323,0.0006868918145392101,0.0004579278763594734
DDoS_UDP,362070,Autoencoder,0.9997762863534676,0.9994310492446212,0.9424917833568095,0.005719888419366421,0.0022095174966166764
DoS_ICMP,8451,Autoencoder,0.9756241864868063,0.9745592237605017,0.9736125902260088,0.9649745592237605,0.9546799195361496
DoS_SYN,97542,Autoencoder,1.0,1.0,0.9999897480059872,0.9979393492034201,0.6602079104385803
DoS_TCP,42583,Autoencoder,0.9999060658009065,0.995655543291924,0.00739731817861588,0.0,0.0
DoS_UDP,137553,Autoencoder,0.9999200308244822,0.9997600924734465,0.968928340348811,0.0012576970331435882,0.0002835270768358378
MQTT_DDoS_Connect_Flood,41916,Autoencoder,1.0,0.9999761427617139,0.9698444508063746,0.01276362248306136,0.00524859242294112
MQTT_DDoS_Publish_Flood,8416,Autoencoder,0.2655655893536122,0.1762119771863118,0.10325570342205323,0.08067965779467681,0.07557034220532319
MQTT_DoS_Connect_Flood,3131,Autoencoder,0.9996806132226126,0.9996806132226126,0.988502076014053,0.0015969338869370809,0.00031938677738741617
MQTT_DoS_Publish_Flood,8505,Autoencoder,0.06666666666666667,0.012463256907701352,0.0014109347442680777,0.00023515579071134627,0.0
MQTT_Malformed_Data,1747,Autoencoder,0.5575271894676589,0.4699484831139096,0.2289639381797367,0.0,0.0
Recon_OS_Scan,2941,Autoencoder,0.8646718803128187,0.8578714722883373,0.8435906154369263,0.8160489629377763,0.7932675960557634
Recon_Ping_Sweep,169,Autoencoder,0.5443786982248521,0.5088757396449705,0.22485207100591717,0.011834319526627219,0.011834319526627219
Recon_Port_Scan,19591,Autoencoder,0.9594201419018937,0.9562554234087081,0.9527333979888725,0.8923485273850237,0.7511612475116125
Recon_VulScan,973,Autoencoder,0.6300102774922919,0.5734840698869476,0.43268242548818087,0.2949640287769784,0.1644398766700925
ARP_Spoofing,1744,IsolationForest,0.43922018348623854,0.43922018348623854,0.43922018348623854,0.43922018348623854,0.43922018348623854
Benign,37607,IsolationForest,0.10790544313558646,0.10790544313558646,0.10790544313558646,0.10790544313558646,0.10790544313558646
DDoS_ICMP,19673,IsolationForest,0.009912062217252071,0.009912062217252071,0.009912062217252071,0.009912062217252071,0.009912062217252071
DDoS_SYN,88921,IsolationForest,0.00402604559103024,0.00402604559103024,0.00402604559103024,0.00402604559103024,0.00402604559103024
DDoS_TCP,8735,IsolationForest,0.0,0.0,0.0,0.0,0.0
DDoS_UDP,362070,IsolationForest,0.9781340624741072,0.9781340624741072,0.9781340624741072,0.9781340624741072,0.9781340624741072
DoS_ICMP,8451,IsolationForest,0.009111347769494734,0.009111347769494734,0.009111347769494734,0.009111347769494734,0.009111347769494734
DoS_SYN,97542,IsolationForest,0.0011687273174632465,0.0011687273174632465,0.0011687273174632465,0.0011687273174632465,0.0011687273174632465
DoS_TCP,42583,IsolationForest,2.3483549773383745e-05,2.3483549773383745e-05,2.3483549773383745e-05,2.3483549773383745e-05,2.3483549773383745e-05
DoS_UDP,137553,IsolationForest,0.9792080143653719,0.9792080143653719,0.9792080143653719,0.9792080143653719,0.9792080143653719
MQTT_DDoS_Connect_Flood,41916,IsolationForest,0.11713903998473137,0.11713903998473137,0.11713903998473137,0.11713903998473137,0.11713903998473137
MQTT_DDoS_Publish_Flood,8416,IsolationForest,0.05988593155893536,0.05988593155893536,0.05988593155893536,0.05988593155893536,0.05988593155893536
MQTT_DoS_Connect_Flood,3131,IsolationForest,0.007984669434685404,0.007984669434685404,0.007984669434685404,0.007984669434685404,0.007984669434685404
MQTT_DoS_Publish_Flood,8505,IsolationForest,0.0,0.0,0.0,0.0,0.0
MQTT_Malformed_Data,1747,IsolationForest,0.20263308528906698,0.20263308528906698,0.20263308528906698,0.20263308528906698,0.20263308528906698
Recon_OS_Scan,2941,IsolationForest,0.01292077524651479,0.01292077524651479,0.01292077524651479,0.01292077524651479,0.01292077524651479
Recon_Ping_Sweep,169,IsolationForest,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
Recon_Port_Scan,19591,IsolationForest,0.010617120106171201,0.010617120106171201,0.010617120106171201,0.010617120106171201,0.010617120106171201
Recon_VulScan,973,IsolationForest,0.020554984583761562,0.020554984583761562,0.020554984583761562,0.020554984583761562,0.020554984583761562
