class,n_samples,model,p90,p95,p99,mean_2std,mean_3std
ARP_Spoofing,1744,Autoencoder,0.40538990825688076,0.3916284403669725,0.27465596330275227,0.33658256880733944,0.3038990825688073
Benign,37607,Autoencoder,0.07581035445528758,0.030925093732549792,0.004812933762331481,0.012896535219507007,0.009040870050788416
DDoS_ICMP,19673,Autoencoder,0.995679357495044,0.9899354445178671,5.0831088293600365e-05,0.00020332435317440146,0.00010166217658720073
DDoS_SYN,88921,Autoencoder,0.9996626218778466,0.9984143228258792,1.1245937405112402e-05,0.00012370531145623645,5.622968702556202e-05
DDoS_TCP,8735,Autoencoder,0.9971379507727532,0.9878649112764739,0.0,0.0,0.0
DDoS_UDP,362070,Autoencoder,0.9998011434253045,0.9994310492446212,0.0,1.3809484353854228e-05,8.285690612312537e-06
DoS_ICMP,8451,Autoencoder,0.9946751863684771,0.9833155839545616,0.00011832919181161993,0.0027215714116672583,0.0011832919181161993
DoS_SYN,97542,Autoencoder,0.9996514322035636,0.9995796682454737,0.0,0.0,0.0
DoS_TCP,42583,Autoencoder,0.9987553718620107,0.9966183688326328,4.696709954676749e-05,0.0004227038959209074,0.0002113519479604537
DoS_UDP,137553,Autoencoder,0.9996728533728817,0.9995565345721286,7.269925047072765e-06,1.453985009414553e-05,7.269925047072765e-06
MQTT_DDoS_Connect_Flood,41916,Autoencoder,0.9999045710468556,0.9996898559022808,0.0,0.0,0.0
MQTT_DDoS_Publish_Flood,8416,Autoencoder,0.999287072243346,0.9931083650190115,0.009980988593155894,0.0837690114068441,0.04099334600760456
MQTT_DoS_Connect_Flood,3131,Autoencoder,1.0,0.9993612264452252,0.0,0.0,0.0
MQTT_DoS_Publish_Flood,8505,Autoencoder,0.999647266313933,0.9978835978835979,0.0,0.0037624926513815404,0.0003527336860670194
MQTT_Malformed_Data,1747,Autoencoder,0.24155695477962222,0.21236405266170577,0.12364052661705781,0.1671436748712078,0.1505437893531769
Recon_OS_Scan,2941,Autoencoder,0.017341040462427744,0.013600816048962938,0.003740224413464808,0.01088065283917035,0.007820469228153689
Recon_Ping_Sweep,169,Autoencoder,0.0,0.0,0.0,0.0,0.0
Recon_Port_Scan,19591,Autoencoder,0.009647287019549793,0.008524322392935532,0.0027563677198713696,0.0055637792864070236,0.004236639273135624
Recon_VulScan,973,Autoencoder,0.029804727646454265,0.022610483042137718,0.010277492291880781,0.017471736896197326,0.017471736896197326
ARP_Spoofing,1744,IsolationForest,0.4294724770642202,0.4294724770642202,0.4294724770642202,0.4294724770642202,0.4294724770642202
Benign,37607,IsolationForest,0.1077193075757173,0.1077193075757173,0.1077193075757173,0.1077193075757173,0.1077193075757173
DDoS_ICMP,19673,IsolationForest,0.012860265338280892,0.012860265338280892,0.012860265338280892,0.012860265338280892,0.012860265338280892
DDoS_SYN,88921,IsolationForest,0.004228472464322263,0.004228472464322263,0.004228472464322263,0.004228472464322263,0.004228472464322263
DDoS_TCP,8735,IsolationForest,0.0,0.0,0.0,0.0,0.0
DDoS_UDP,362070,IsolationForest,0.9730797912005966,0.9730797912005966,0.9730797912005966,0.9730797912005966,0.9730797912005966
DoS_ICMP,8451,IsolationForest,0.010649627263045794,0.010649627263045794,0.010649627263045794,0.010649627263045794,0.010649627263045794
DoS_SYN,97542,IsolationForest,0.001178979311476082,0.001178979311476082,0.001178979311476082,0.001178979311476082,0.001178979311476082
DoS_TCP,42583,IsolationForest,7.045064932015124e-05,7.045064932015124e-05,7.045064932015124e-05,7.045064932015124e-05,7.045064932015124e-05
DoS_UDP,137553,IsolationForest,0.9738355397555851,0.9738355397555851,0.9738355397555851,0.9738355397555851,0.9738355397555851
MQTT_DDoS_Connect_Flood,41916,IsolationForest,0.13624868785189426,0.13624868785189426,0.13624868785189426,0.13624868785189426,0.13624868785189426
MQTT_DDoS_Publish_Flood,8416,IsolationForest,0.06012357414448669,0.06012357414448669,0.06012357414448669,0.06012357414448669,0.06012357414448669
MQTT_DoS_Connect_Flood,3131,IsolationForest,0.00830405621207282,0.00830405621207282,0.00830405621207282,0.00830405621207282,0.00830405621207282
MQTT_DoS_Publish_Flood,8505,IsolationForest,0.0,0.0,0.0,0.0,0.0
MQTT_Malformed_Data,1747,IsolationForest,0.2346880366342301,0.2346880366342301,0.2346880366342301,0.2346880366342301,0.2346880366342301
Recon_OS_Scan,2941,IsolationForest,0.013260795647738865,0.013260795647738865,0.013260795647738865,0.013260795647738865,0.013260795647738865
Recon_Ping_Sweep,169,IsolationForest,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
Recon_Port_Scan,19591,IsolationForest,0.010412944719514063,0.010412944719514063,0.010412944719514063,0.010412944719514063,0.010412944719514063
Recon_VulScan,973,IsolationForest,0.019527235354573486,0.019527235354573486,0.019527235354573486,0.019527235354573486,0.019527235354573486
