target,threshold,thr_value,case1_attack_and_anomaly,case2_benign_and_anomaly_zeroday,case3_attack_only,case4_missed_entirely,binary_recall,n_target_test
Recon_Ping_Sweep,p90,0.20127058029174805,87,5,51,26,0.8461538461538461,169
Recon_Ping_Sweep,p95,0.37264156341552734,84,2,54,29,0.8284023668639053,169
Recon_Ping_Sweep,p99,1.2025282382965088,38,0,100,31,0.8165680473372781,169
Recon_VulScan,p90,0.20127058029174805,383,230,68,292,0.6998972250770812,973
Recon_VulScan,p95,0.37264156341552734,378,180,73,342,0.6485097636176773,973
Recon_VulScan,p99,1.2025282382965088,364,57,87,465,0.5220966084275437,973
MQTT_Malformed_Data,p90,0.20127058029174805,816,158,459,314,0.8202633085289067,1747
MQTT_Malformed_Data,p95,0.37264156341552734,699,122,576,350,0.7996565540927304,1747
MQTT_Malformed_Data,p99,1.2025282382965088,391,9,884,463,0.7349742415569548,1747
MQTT_DoS_Connect_Flood,p90,0.20127058029174805,3130,0,1,0,1.0,3131
MQTT_DoS_Connect_Flood,p95,0.37264156341552734,3130,0,1,0,1.0,3131
MQTT_DoS_Connect_Flood,p99,1.2025282382965088,3095,0,36,0,1.0,3131
ARP_Spoofing,p90,0.20127058029174805,863,101,565,215,0.8767201834862385,1744
ARP_Spoofing,p95,0.37264156341552734,434,65,994,251,0.8560779816513762,1744
ARP_Spoofing,p99,1.2025282382965088,30,13,1398,303,0.8262614678899083,1744
